matplotlib.style.context,http://matplotlib.org/api/style_api.html#matplotlib.style.context,matplotlib,method,matplotlib.widgets.AxesWidget
matplotlib.style.reload_library,http://matplotlib.org/api/style_api.html#matplotlib.style.reload_library,matplotlib,method,matplotlib.widgets.AxesWidget
matplotlib.style.use,http://matplotlib.org/api/style_api.html#matplotlib.style.use,matplotlib,method,matplotlib.widgets.Button
matplotlib.ticker.TickHelper.create_dummy_axis,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.TickHelper.create_dummy_axis,matplotlib,method,matplotlib.widgets.Button
matplotlib.ticker.TickHelper.set_axis,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.TickHelper.set_axis,matplotlib,method,matplotlib.units.Registry
matplotlib.ticker.TickHelper.set_bounds,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.TickHelper.set_bounds,matplotlib,method,matplotlib.style
matplotlib.type1font.Type1Font.transform,http://matplotlib.org/api/type1font.html#matplotlib.type1font.Type1Font.transform,matplotlib,method,matplotlib.style
matplotlib.type1font.ord,http://matplotlib.org/api/type1font.html#matplotlib.type1font.ord,matplotlib,method,matplotlib.style
matplotlib.tight_layout.auto_adjust_subplotpars,http://matplotlib.org/api/tight_layout_api.html#matplotlib.tight_layout.auto_adjust_subplotpars,matplotlib,method,matplotlib.widgets.CheckButtons
matplotlib.tight_layout.get_renderer,http://matplotlib.org/api/tight_layout_api.html#matplotlib.tight_layout.get_renderer,matplotlib,method,matplotlib.widgets.CheckButtons
matplotlib.ticker.TickHelper.set_data_interval,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.TickHelper.set_data_interval,matplotlib,method,matplotlib.widgets.CheckButtons
matplotlib.ticker.TickHelper.set_view_interval,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.TickHelper.set_view_interval,matplotlib,method,matplotlib.widgets.Cursor
matplotlib.ticker.Formatter.fix_minus,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.Formatter.fix_minus,matplotlib,method,matplotlib.widgets.Cursor
matplotlib.tight_layout.get_subplotspec_list,http://matplotlib.org/api/tight_layout_api.html#matplotlib.tight_layout.get_subplotspec_list,matplotlib,method,matplotlib.widgets.EllipseSelector
matplotlib.tight_layout.get_tight_layout_figure,http://matplotlib.org/api/tight_layout_api.html#matplotlib.tight_layout.get_tight_layout_figure,matplotlib,method,matplotlib.ticker.TickHelper
