numpy.random.vonmises,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.random.vonmises.html#numpy.random.vonmises,numpy,method,numpy.ma.MaskedArray
numpy.record.view,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.record.view.html#numpy.record.view,numpy,method,numpy.ma.MaskType
numpy.random.RandomState.wald,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.random.RandomState.wald.html#numpy.random.RandomState.wald,numpy,method,numpy.generic
numpy.vstack,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.vstack.html#numpy.vstack,numpy,method,numpy.recarray
numpy.recarray.view,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.recarray.view.html#numpy.recarray.view,numpy,method,numpy.ndarray
numpy.random.RandomState.vonmises,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.random.RandomState.vonmises.html#numpy.random.RandomState.vonmises,numpy,method,numpy.memmap
numpy.memmap.view,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.memmap.view.html#numpy.memmap.view,numpy,method,numpy.matrix
numpy.matrix.view,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.matrix.view.html#numpy.matrix.view,numpy,method,numpy.chararray
numpy.generic.view,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.generic.view.html#numpy.generic.view,numpy,method,numpy.core.defchararray.chararray
numpy.ndarray.view,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.ndarray.view.html#numpy.ndarray.view,numpy,method,numpy
numpy.chararray.view,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.chararray.view.html#numpy.chararray.view,numpy,method,numpy.matrix
numpy.ma.MaskedArray.view,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.ma.MaskedArray.view.html#numpy.ma.MaskedArray.view,numpy,method,numpy.memmap
numpy.ma.masked_array.view,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.ma.masked_array.view.html#numpy.ma.masked_array.view,numpy,method,numpy.ma.masked_array
numpy.ma.MaskType.view,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.ma.MaskType.view.html#numpy.ma.MaskType.view,numpy,method,numpy.ma.MaskedArray
numpy.core.defchararray.chararray.view,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.core.defchararray.chararray.view.html#numpy.core.defchararray.chararray.view,numpy,method,numpy.record
numpy.vdot,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.vdot.html#numpy.vdot,numpy,method,numpy.recarray
numpy.record.var,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.record.var.html#numpy.record.var,numpy,method,numpy.ndarray
numpy.matrix.var,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.matrix.var.html#numpy.matrix.var,numpy,method,numpy.ma.MaskType
numpy.ma.MaskedArray.var,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.ma.MaskedArray.var.html#numpy.ma.MaskedArray.var,numpy,method,numpy.generic
numpy.ma.MaskType.var,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.ma.MaskType.var.html#numpy.ma.MaskType.var,numpy,method,numpy.core.defchararray.chararray
numpy.recarray.var,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.recarray.var.html#numpy.recarray.var,numpy,method,numpy.chararray
numpy.memmap.var,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.memmap.var.html#numpy.memmap.var,numpy,method,numpy.core.defchararray.chararray
numpy.ma.masked_array.var,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.ma.masked_array.var.html#numpy.ma.masked_array.var,numpy,method,numpy.chararray
numpy.ndarray.var,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.ndarray.var.html#numpy.ndarray.var,numpy,method,numpy.core.defchararray
numpy.generic.var,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.generic.var.html#numpy.generic.var,numpy,method,numpy
numpy.chararray.var,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.chararray.var.html#numpy.chararray.var,numpy,method,numpy.ma
numpy.var,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.var.html#numpy.var,numpy,method,numpy
numpy.core.defchararray.chararray.var,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.core.defchararray.chararray.var.html#numpy.core.defchararray.chararray.var,numpy,method,numpy.ma.MaskedArray
numpy.chararray.upper,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.chararray.upper.html#numpy.chararray.upper,numpy,method,numpy
numpy.core.defchararray.chararray.upper,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.core.defchararray.chararray.upper.html#numpy.core.defchararray.chararray.upper,numpy,method,numpy.ma.masked_array
numpy.core.defchararray.upper,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.core.defchararray.upper.html#numpy.core.defchararray.upper,numpy,method,numpy
numpy.ma.vander,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.ma.vander.html#numpy.ma.vander,numpy,method,numpy.random
numpy.vander,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.vander.html#numpy.vander,numpy,method,numpy
numpy.ma.MaskedArray.unshare_mask,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.ma.MaskedArray.unshare_mask.html#numpy.ma.MaskedArray.unshare_mask,numpy,method,numpy
numpy.ma.masked_array.unshare_mask,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.ma.masked_array.unshare_mask.html#numpy.ma.masked_array.unshare_mask,numpy,method,numpy
numpy.unravel_index,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.unravel_index.html#numpy.unravel_index,numpy,method,numpy
numpy.unwrap,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.unwrap.html#numpy.unwrap,numpy,method,numpy.random.RandomState
numpy.random.uniform,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.random.uniform.html#numpy.random.uniform,numpy,method,numpy.polynomial.laguerre.Laguerre
numpy.typename,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.typename.html#numpy.typename,numpy,method,numpy.polynomial.hermite_e.HermiteE
numpy.unpackbits,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.unpackbits.html#numpy.unpackbits,numpy,method,numpy
numpy.unique,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.unique.html#numpy.unique,numpy,method,numpy.polynomial.legendre.Legendre
numpy.random.RandomState.uniform,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.random.RandomState.uniform.html#numpy.random.RandomState.uniform,numpy,method,numpy
numpy.union1d,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.union1d.html#numpy.union1d,numpy,method,numpy.polynomial.hermite.Hermite
numpy.polynomial.polynomial.Polynomial.truncate,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.polynomial.polynomial.Polynomial.truncate.html#numpy.polynomial.polynomial.Polynomial.truncate,numpy,method,numpy.polynomial.chebyshev.Chebyshev
numpy.polynomial.legendre.Legendre.truncate,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.polynomial.legendre.Legendre.truncate.html#numpy.polynomial.legendre.Legendre.truncate,numpy,method,numpy
numpy.polynomial.laguerre.Laguerre.truncate,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.polynomial.laguerre.Laguerre.truncate.html#numpy.polynomial.laguerre.Laguerre.truncate,numpy,method,numpy
numpy.triu_indices_from,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.triu_indices_from.html#numpy.triu_indices_from,numpy,method,numpy.polynomial.polynomial.Polynomial
numpy.triu_indices,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.triu_indices.html#numpy.triu_indices,numpy,method,numpy.polynomial.polynomial.Polynomial
numpy.polynomial.hermite_e.HermiteE.truncate,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.polynomial.hermite_e.HermiteE.truncate.html#numpy.polynomial.hermite_e.HermiteE.truncate,numpy,method,numpy
numpy.polynomial.hermite.Hermite.truncate,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.polynomial.hermite.Hermite.truncate.html#numpy.polynomial.hermite.Hermite.truncate,numpy,method,numpy.polynomial.chebyshev.Chebyshev
numpy.polynomial.chebyshev.Chebyshev.truncate,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.polynomial.chebyshev.Chebyshev.truncate.html#numpy.polynomial.chebyshev.Chebyshev.truncate,numpy,method,numpy
numpy.trim_zeros,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.trim_zeros.html#numpy.trim_zeros,numpy,method,numpy
numpy.polynomial.polynomial.Polynomial.trim,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.polynomial.polynomial.Polynomial.trim.html#numpy.polynomial.polynomial.Polynomial.trim,numpy,method,numpy.polynomial.legendre.Legendre
numpy.polynomial.legendre.Legendre.trim,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.polynomial.legendre.Legendre.trim.html#numpy.polynomial.legendre.Legendre.trim,numpy,method,numpy.polynomial.laguerre.Laguerre
numpy.triu,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.triu.html#numpy.triu,numpy,method,numpy.polynomial.hermite_e.HermiteE
numpy.tril_indices_from,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.tril_indices_from.html#numpy.tril_indices_from,numpy,method,numpy.polynomial.hermite.Hermite
numpy.tril_indices,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.tril_indices.html#numpy.tril_indices,numpy,method,numpy.random.RandomState
numpy.tril,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.tril.html#numpy.tril,numpy,method,numpy.random
numpy.polynomial.laguerre.Laguerre.trim,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.polynomial.laguerre.Laguerre.trim.html#numpy.polynomial.laguerre.Laguerre.trim,numpy,method,numpy
numpy.polynomial.hermite_e.HermiteE.trim,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.polynomial.hermite_e.HermiteE.trim.html#numpy.polynomial.hermite_e.HermiteE.trim,numpy,method,numpy
numpy.polynomial.hermite.Hermite.trim,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.polynomial.hermite.Hermite.trim.html#numpy.polynomial.hermite.Hermite.trim,numpy,method,numpy.record
