style.context,http://matplotlib.org/api/style_api.html#matplotlib.style.context,matplotlib,method,matplotlib.widgets.AxesWidget
style.reload_library,http://matplotlib.org/api/style_api.html#matplotlib.style.reload_library,matplotlib,method,matplotlib.widgets.AxesWidget
style.use,http://matplotlib.org/api/style_api.html#matplotlib.style.use,matplotlib,method,matplotlib.widgets.Button
ticker.TickHelper.create_dummy_axis,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.TickHelper.create_dummy_axis,matplotlib,method,matplotlib.widgets.Button
ticker.TickHelper.set_axis,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.TickHelper.set_axis,matplotlib,method,matplotlib.units.Registry
ticker.TickHelper.set_bounds,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.TickHelper.set_bounds,matplotlib,method,matplotlib.style
type1font.Type1Font.transform,http://matplotlib.org/api/type1font.html#matplotlib.type1font.Type1Font.transform,matplotlib,method,matplotlib.style
type1font.ord,http://matplotlib.org/api/type1font.html#matplotlib.type1font.ord,matplotlib,method,matplotlib.style
tight_layout.auto_adjust_subplotpars,http://matplotlib.org/api/tight_layout_api.html#matplotlib.tight_layout.auto_adjust_subplotpars,matplotlib,method,matplotlib.widgets.CheckButtons
tight_layout.get_renderer,http://matplotlib.org/api/tight_layout_api.html#matplotlib.tight_layout.get_renderer,matplotlib,method,matplotlib.widgets.CheckButtons
ticker.TickHelper.set_data_interval,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.TickHelper.set_data_interval,matplotlib,method,matplotlib.widgets.CheckButtons
ticker.TickHelper.set_view_interval,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.TickHelper.set_view_interval,matplotlib,method,matplotlib.widgets.Cursor
ticker.Formatter.fix_minus,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.Formatter.fix_minus,matplotlib,method,matplotlib.widgets.Cursor
tight_layout.get_subplotspec_list,http://matplotlib.org/api/tight_layout_api.html#matplotlib.tight_layout.get_subplotspec_list,matplotlib,method,matplotlib.widgets.EllipseSelector
tight_layout.get_tight_layout_figure,http://matplotlib.org/api/tight_layout_api.html#matplotlib.tight_layout.get_tight_layout_figure,matplotlib,method,matplotlib.ticker.TickHelper
ticker.Formatter.format_data,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.Formatter.format_data,matplotlib,method,matplotlib.tri.Triangulation
ticker.Formatter.format_data_short,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.Formatter.format_data_short,matplotlib,method,matplotlib.tri.Triangulation
ticker.Formatter.get_offset,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.Formatter.get_offset,matplotlib,method,matplotlib.tight_layout
ticker.Formatter.set_locs,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.Formatter.set_locs,matplotlib,method,matplotlib.tight_layout
ticker.FixedFormatter.get_offset,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.FixedFormatter.get_offset,matplotlib,method,matplotlib.type1font.Type1Font
ticker.FixedFormatter.set_offset_string,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.FixedFormatter.set_offset_string,matplotlib,method,matplotlib.type1font
ticker.ScalarFormatter.fix_minus,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.ScalarFormatter.fix_minus,matplotlib,method,matplotlib.widgets.Lasso
ticker.ScalarFormatter.format_data,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.ScalarFormatter.format_data,matplotlib,method,matplotlib.widgets.Lasso
ticker.ScalarFormatter.format_data_short,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.ScalarFormatter.format_data_short,matplotlib,method,matplotlib.widgets.LassoSelector
ticker.ScalarFormatter.get_offset,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.ScalarFormatter.get_offset,matplotlib,method,matplotlib.ticker.TickHelper
ticker.ScalarFormatter.get_useLocale,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.ScalarFormatter.get_useLocale,matplotlib,method,matplotlib.ticker.TickHelper
ticker.ScalarFormatter.get_useOffset,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.ScalarFormatter.get_useOffset,matplotlib,method,matplotlib.ticker.TickHelper
tri.Triangulation.calculate_plane_coefficients,http://matplotlib.org/api/tri_api.html#matplotlib.tri.Triangulation.calculate_plane_coefficients,matplotlib,method,matplotlib.tri.Triangulation
tri.Triangulation.get_masked_triangles,http://matplotlib.org/api/tri_api.html#matplotlib.tri.Triangulation.get_masked_triangles,matplotlib,method,matplotlib.tri.Triangulation
ticker.ScalarFormatter.pprint_val,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.ScalarFormatter.pprint_val,matplotlib,method,matplotlib.tri.TrapezoidMapTriFinder
ticker.ScalarFormatter.set_locs,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.ScalarFormatter.set_locs,matplotlib,method,matplotlib.tight_layout
ticker.ScalarFormatter.set_powerlimits,http://matplotlib.org/api/ticker_api.html#matplotlib.ticker.ScalarFormatter.set_powerlimits,matplotlib,method,matplotlib.tight_layout
units.Registry.get_converter,http://matplotlib.org/api/units_api.html#matplotlib.units.Registry.get_converter,matplotlib,method,matplotlib.widgets.LassoSelector
widgets.AxesWidget.connect_event,http://matplotlib.org/api/widgets_api.html#matplotlib.widgets.AxesWidget.connect_event,matplotlib,method,matplotlib.widgets.LockDraw
tri.Triangulation.get_trifinder,http://matplotlib.org/api/tri_api.html#matplotlib.tri.Triangulation.get_trifinder,matplotlib,method,matplotlib.widgets.LockDraw
